id,home_team_id,away_team_id,poss_home,poss_away,shots_ot_home,shots_total_home,shots_ot_away,shots_total_away,saves_home,saves_away,cards_home,cards_away
215273675829103,TEAM-F53424F0,TEAM-B2118D2C,47,53,6,15,2,10,2,3,0,0
128059159303519,TEAM-782246EA,TEAM-0587F59E,51,49,5,9,4,11,2,2,0,0
260045177303107,TEAM-93330B41,TEAM-BDDFCDFA,65,35,11,21,1,4,1,6,0,0
225474460646579,TEAM-1C981597,TEAM-720795A0,36,64,3,9,6,20,5,2,0,0
71552518573511,TEAM-3E37DB98,TEAM-D069E7F8,54,46,4,13,2,18,1,2,0,0
120962390888885,TEAM-550D05AB,TEAM-A4EC0F45,49,51,5,17,3,9,2,2,0,0
16354935909941,TEAM-7C631724,TEAM-0E077100,53,48,8,15,1,14,1,5,0,0
108080026272328,TEAM-0FF29040,TEAM-839B22B8,53,47,2,8,5,11,5,2,0,0
86930806509335,TEAM-A4EC0F45,TEAM-782246EA,63,37,3,12,5,13,4,2,0,0
276761382324566,TEAM-51EA86E0,TEAM-3E37DB98,52,48,2,10,5,14,5,1,0,0
120392036606919,TEAM-B2118D2C,TEAM-839B22B8,47,53,4,10,3,9,3,3,0,0
144025450835022,TEAM-F53424F0,TEAM-1C981597,74,26,10,25,3,6,2,8,0,0
49912487743273,TEAM-D069E7F8,TEAM-27AC674B,55,45,3,14,3,9,2,3,0,0
102381573900005,TEAM-0587F59E,TEAM-0FF29040,48,52,7,21,2,4,2,7,0,0
14363514735660,TEAM-A415D192,TEAM-93330B41,46,55,2,13,5,21,5,2,0,0
171498132861949,TEAM-0E077100,TEAM-7273A887,39,61,4,6,3,14,2,2,0,0
71824464063421,TEAM-BDDFCDFA,TEAM-7C631724,43,57,4,17,2,9,1,3,0,0
112411683314944,TEAM-720795A0,TEAM-550D05AB,39,62,3,5,9,21,5,1,0,0
6362656669454,TEAM-BDDFCDFA,TEAM-1C981597,60,41,3,14,0,7,0,2,0,0
184983825241068,TEAM-3E37DB98,TEAM-720795A0,52,49,2,5,4,7,3,2,0,0
149440693544582,TEAM-550D05AB,TEAM-0587F59E,68,32,7,19,2,13,2,3,0,0
42506875124295,TEAM-839B22B8,TEAM-782246EA,46,54,4,14,9,19,6,4,0,0
141493924351016,TEAM-27AC674B,TEAM-0E077100,58,42,7,14,3,9,2,5,0,0
240600018970803,TEAM-0FF29040,TEAM-A415D192,39,61,3,8,3,11,2,2,0,0
243786207784554,TEAM-7C631724,TEAM-51EA86E0,54,46,7,23,4,11,3,6,0,0
19529544917174,TEAM-7273A887,TEAM-F53424F0,41,59,1,9,6,13,6,1,0,0
167073112899369,TEAM-A4EC0F45,TEAM-93330B41,49,52,6,15,7,20,5,4,0,0
24440480462873,TEAM-D069E7F8,TEAM-B2118D2C,33,67,5,8,6,22,5,3,0,0
246618020730085,TEAM-7273A887,TEAM-A4EC0F45,34,67,6,15,4,9,4,4,0,0
188728039961764,TEAM-0E077100,TEAM-839B22B8,53,48,4,7,2,14,0,2,0,0
36398422825622,TEAM-550D05AB,TEAM-3E37DB98,69,31,6,18,3,9,1,3,0,0
137057036007683,TEAM-1C981597,TEAM-0587F59E,56,44,4,11,4,14,1,4,0,0
207872139391536,TEAM-F53424F0,TEAM-0FF29040,52,48,8,14,1,12,1,6,0,0
189167058479105,TEAM-782246EA,TEAM-27AC674B,60,40,7,18,5,10,1,5,0,0
251107807545272,TEAM-B2118D2C,TEAM-7C631724,65,35,3,9,4,9,2,2,0,0
125140908145739,TEAM-720795A0,TEAM-D069E7F8,60,40,4,11,2,9,1,4,0,0
13210013621380,TEAM-51EA86E0,TEAM-93330B41,40,60,4,10,4,25,4,3,0,0
