match_id,team_id,side,possession,shots_on_target,shots_total,saves,cards
121752485147317,TEAM-0FF29040,HOME,61,4,13,8,0
121752485147317,TEAM-D069E7F8,AWAY,39,53,10,100,0
113189581016765,TEAM-B2118D2C,HOME,58,4,13,3,0
113189581016765,TEAM-0E077100,AWAY,42,86,6,75,0
205022729024640,TEAM-550D05AB,HOME,68,9,27,3,0
205022729024640,TEAM-51EA86E0,AWAY,32,36,4,77,0
43123034282656,TEAM-27AC674B,HOME,39,3,7,1,0
43123034282656,TEAM-7C631724,AWAY,61,19,3,66,0
97542611844075,TEAM-839B22B8,AWAY,41,22,2,88,0
100012646648395,TEAM-A4EC0F45,HOME,69,5,15,1,0
100012646648395,TEAM-0587F59E,AWAY,31,25,1,100,0
122694556029353,TEAM-720795A0,HOME,41,1,4,6,0
122694556029353,TEAM-782246EA,AWAY,59,41,7,0,0
163343429060959,TEAM-1C981597,HOME,54,4,17,1,0
163343429060959,TEAM-A415D192,AWAY,46,50,5,100,0
15045513827979,TEAM-7273A887,HOME,24,1,7,9,0
15045513827979,TEAM-93330B41,AWAY,76,43,10,100,0
87432229548299,TEAM-BDDFCDFA,AWAY,38,40,2,100,0
5032611259275,TEAM-782246EA,HOME,40,3,5,0,0
5032611259275,TEAM-B2118D2C,AWAY,60,17,1,33,0
125986801044396,TEAM-51EA86E0,HOME,65,6,8,2,0
125986801044396,TEAM-0FF29040,AWAY,35,50,5,50,0
217617549854870,TEAM-D069E7F8,HOME,32,7,16,4,0
217617549854870,TEAM-A4EC0F45,AWAY,68,31,4,85,0
240235579276521,TEAM-0587F59E,HOME,57,4,7,3,0
240235579276521,TEAM-7273A887,AWAY,43,38,3,100,0
211188047924725,TEAM-BDDFCDFA,HOME,57,3,15,3,0
211188047924725,TEAM-27AC674B,AWAY,43,42,5,100,0
266459115822441,TEAM-0E077100,HOME,63,4,20,4,0
266459115822441,TEAM-1C981597,AWAY,37,38,5,100,0
70416217227440,TEAM-839B22B8,HOME,62,7,17,2,0
70416217227440,TEAM-720795A0,AWAY,39,45,5,71,0
99147758124915,TEAM-A415D192,HOME,54,5,15,2,0
279595461165615,TEAM-7C631724,HOME,57,5,17,2,0
26143173390922,TEAM-7273A887,HOME,40,4,12,3,0
26143173390922,TEAM-51EA86E0,AWAY,60,50,4,50,0
57267236260772,TEAM-27AC674B,HOME,47,7,16,3,0
57267236260772,TEAM-A415D192,AWAY,53,23,3,42,0
215273675829103,TEAM-B2118D2C,AWAY,53,20,2,50,0
128059159303519,TEAM-782246EA,HOME,51,5,9,2,0
128059159303519,TEAM-0587F59E,AWAY,49,36,4,40,0
260045177303107,TEAM-93330B41,HOME,65,11,21,1,0
260045177303107,TEAM-BDDFCDFA,AWAY,35,25,1,54,0
225474460646579,TEAM-1C981597,HOME,36,3,9,5,0
225474460646579,TEAM-720795A0,AWAY,64,30,6,66,0
71552518573511,TEAM-D069E7F8,AWAY,46,11,2,50,0
120962390888885,TEAM-550D05AB,HOME,49,5,17,2,0
120962390888885,TEAM-A4EC0F45,AWAY,51,33,3,40,0
16354935909941,TEAM-7C631724,HOME,53,8,15,1,0
16354935909941,TEAM-0E077100,AWAY,48,7,1,62,0
108080026272328,TEAM-0FF29040,HOME,53,2,8,5,0
108080026272328,TEAM-839B22B8,AWAY,47,45,5,100,0
86930806509335,TEAM-A4EC0F45,HOME,63,3,12,4,0
86930806509335,TEAM-782246EA,AWAY,37,38,5,66,0
276761382324566,TEAM-51EA86E0,HOME,52,2,10,5,0
120392036606919,TEAM-B2118D2C,HOME,47,4,10,3,0
120392036606919,TEAM-839B22B8,AWAY,53,33,3,75,0
144025450835022,TEAM-1C981597,AWAY,26,50,3,80,0
49912487743273,TEAM-D069E7F8,HOME,55,3,14,2,0
